Poll_Source,Date,Democrat_s_,Republican_s_,Hypothetical_Race,Winner
WNBC/Marist_Poll_,"Sep_18-20,_2006_",Hillary_Clinton_,Rudy_Giuliani_,Hillary_Clinton_vs._Rudy_Giuliani_,Republican
WNBC/Marist_Poll_,"Sep_18-20,_2006_",Hillary_Clinton_,Condoleezza_Rice_,Hillary_Clinton_vs._Condoleezza_Rice_,Democrat
FOX_News/Opinion_Dynamics_Poll_,"Aug_29-30,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Aug_29-30,_2006_",Hillary_Clinton_,Rudy_Giuliani_,Hillary_Clinton_vs._Rudy_Giuliani_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Aug_29-30,_2006_",Al_Gore_,John_McCain_,Al_Gore_vs._John_McCain_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Aug_29-30,_2006_",Al_Gore_,Rudy_Giuliani_,Al_Gore_vs._Rudy_Giuliani_,Republican
Diageo/Hotline_Poll_,"Jul_20-23,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
Time_Poll_,"Jul_13-17,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
Time_Poll_,"Jul_13-17,_2006_",John_Kerry_,John_McCain_,John_Kerry_vs._John_McCain_,Republican
Time_Poll_,"Jul_13-17,_2006_",Al_Gore_,John_McCain_,Al_Gore_vs._John_McCain_,Republican
Diageo/Hotline_Poll_,"Jun_21-25,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
Diageo/Hotline_Poll_,"Jun_21-25,_2006_",John_Edwards_,John_McCain_,John_Edwards_vs._John_McCain_,Republican
Cook_Political_Report/RT_Strategies_Poll_,"Jun_1-4,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
Diageo/Hotline_Poll_,"May_18-21,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
Diageo/Hotline_Poll_,"May_18-21,_2006_",Al_Gore_,John_McCain_,Al_Gore_vs._John_McCain_,Republican
FOX_News/Opinion_Dynamics_Poll_,"May_16-18,_2006_",Hillary_Clinton_,Jeb_Bush_,Hillary_Clinton_vs._Jeb_Bush_,Democrat
FOX_News/Opinion_Dynamics_Poll_,"May_16-18,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
FOX_News/Opinion_Dynamics_Poll_,"May_16-18,_2006_",Hillary_Clinton_,Rudy_Giuliani_,Hillary_Clinton_vs._Rudy_Giuliani_,Republican
FOX_News/Opinion_Dynamics_Poll_,"May_16-18,_2006_",Al_Gore_,Jeb_Bush_,Al_Gore_vs._Jeb_Bush_,Democrat
FOX_News/Opinion_Dynamics_Poll_,"May_16-18,_2006_",Al_Gore_,John_McCain_,Al_Gore_vs._John_McCain_,Republican
